lado,origen,tipo_cargo,codigo,descripcion,cuenta_contable,cuenta_presupuestaria_sugerida,glosa_sugerida,observacion
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10001,BONO LEY 19464,215-21-03-005-001-000,215-21-03-999-000-000,BONO LEY 19464,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10002,ASIGNACION FAMILIAR,114-06-00-000-000-000,,ASIGNACION FAMILIAR,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10003,ASIGNACION DE RESPONSABILIDAD,215-21-02-001-018,,ASIGNACION DE RESPONSABILIDAD,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10005,ASIGNACION MOVILIZACION,215-21-03-999-000-000,215-21-03-999-000-000,ASIGNACION MOVILIZACION,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10007,ASIGNACION DE RESPONSABILIDAD,215-21-02-001-018,,ASIGNACION DE RESPONSABILIDAD,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10009,PLANILLA SUPLEMENTARIA,215-21-03-999-000-000,215-21-03-999-000-000,PLANILLA SUPLEMENTARIA,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10010,BONO LEY 19464,215-21-03-005-001-000,,BONO LEY 19464,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10011,ASIGNACION MENSUAL ART 43 LEY 21109,215-21-03-999-000-000,,ASIGNACION MENSUAL ART 43 LEY 21109,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10012,BONO ALTA CONCENTRACION NO DOCENTE,215-21-02-001-046,,BONO ALTA CONCENTRACION NO DOCENTE,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10013,BONO EXPERIENCIA LEY 21109,215-21-03-004-001-000,,BONO EXPERIENCIA LEY 21109,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10014,ASIG RESPONSABILIDAD COORDINACION PIE,215-21-03-999-000-000,215-21-03-999-000-000,ASIG RESPONSABILIDAD COORDINACION PIE,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10016,SUELDO BASE,215-21-03-004-001-000,,SUELDO BASE,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10017,BIENIOS ASISTENTES,215-21-02-001-044,,BIENIOS ASISTENTES,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10018,BONO LEY 19.464,215-21-03-005-001-000,,BONO LEY 19.464,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10020,ASIGNACION DE EXPERIENCIA LEY 21109,215-21-03-004-001-000,215-21-03-999-000-000,ASIGNACION DE EXPERIENCIA LEY 21109,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10026,BONO ESPECIAL,215-21-03-999-000-000,,BONO ESPECIAL,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10028,BONO DESEMPEÑO LABORAL (CUOTA 2),215-21-03-999-000-000,,BONO DESEMPEÑO LABORAL (CUOTA 2),
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10029,ART 42 TRANSITORIO FEBRERO (ASIG EXP PAPUDO),215-21-03-999-000-000,,ART 42 TRANSITORIO FEBRERO (ASIG EXP PAPUDO),
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10030,RETRO ART 42 TRANSIT ENERO (ASIG EXP PAPUDO),215-21-03-999-000-000,,RETRO ART 42 TRANSIT ENERO (ASIG EXP PAPUDO),
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10031,RETRO ART 42 TRANSIT DICIEM (ASIG EXP PAPUDO),215-21-03-999-000-000,,RETRO ART 42 TRANSIT DICIEM (ASIG EXP PAPUDO),
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10032,ASIG ALTA CONC DE ALUMNOS PRIORIT AAEE,215-21-02-001-046,,ASIG ALTA CONC DE ALUMNOS PRIORIT AAEE,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10033,RETROACTIVO REAJUSTE SUELDO BASE (ENERO),215-21-03-004-001-000,,RETROACTIVO REAJUSTE SUELDO BASE (ENERO),
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10034,ASIG RESPONSABILIDAD PIE,215-21-03-999-000-000,,ASIG RESPONSABILIDAD PIE,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10035,ART 13 LEY 21806,215-21-03-999-000-000,,ART 13 LEY 21806,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10036,ASIGNACION MENSUAL ART 43 LEY 21109,215-21-03-999-000-000,215-21-03-999-000-000,ASIGNACION MENSUAL ART 43 LEY 21109,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10037,PLANILLA COMPLEMENTARIA (ART 42 T),215-21-03-999-000-000,215-21-03-999-000-000,PLANILLA COMPLEMENTARIA (ART 42 T),
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10038,BONO DE VACACIONES,215-21-03-999-000-000,,BONO DE VACACIONES,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10040,ASIG FAMILIAR,114-06-00-000-000-000,,ASIG FAMILIAR,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10047,ART 42 TRANS ( ASIG EXP PAPUDO),,,ART 42 TRANS ( ASIG EXP PAPUDO),
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10050,RETROACTIVO ASIG ALUM PRIORITARIOS,215-21-02-001-046,,RETROACTIVO ASIG ALUM PRIORITARIOS,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10053,RETROACTIVO REAJUSTE SUELDO BASE (ENERO),215-21-03-004-001-000,,RETROACTIVO REAJUSTE SUELDO BASE (ENERO),
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10054,BONO MENSUAL ART 13 LEY 21806,215-21-03-999-000-000,,BONO MENSUAL ART 13 LEY 21806,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10057,BONO ESPECIAL,215-21-03-999-000-000,,BONO ESPECIAL,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10058,DIFERENCIA BONO DE VACACIONES,215-21-03-999-000-000,,DIFERENCIA BONO DE VACACIONES,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10059,DIFERENCIA AGUINALDO DE NAVIDAD,215-21-02-005-001,,DIFERENCIA AGUINALDO DE NAVIDAD,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10063,RETROACTIVO LEY 19464,215-21-03-005-001-000,,RETROACTIVO LEY 19464,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10064,RETROACTIVO ASIG EXPERIENCIA LEY 21109,215-21-03-004-001-000,,RETROACTIVO ASIG EXPERIENCIA LEY 21109,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10065,DIFERENCIA SUELDO BASE,215-21-03-004-001-000,,DIFERENCIA SUELDO BASE,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10066,RETROCTIVO ASIG MENSUAL ART 43 LEY 21109,215-21-03-999-000-000,,RETROCTIVO ASIG MENSUAL ART 43 LEY 21109,
DEBE,GASTO_FINANCIAMIENTO,ASISTENTE EDUCACION,10069,RETROACTIVO REAJUSTE SUELDO BASE (DIC),215-21-03-004-001-000,,RETROACTIVO REAJUSTE SUELDO BASE (DIC),
